PH_ID	IRGSP_best_BLAST_hit	description
PH01001065G0220	Os03t0240900-01	tubulin, putative, expressed
PH01001065G0270	Os12t0586300-00	MYB family transcription factor, putative, expressed
PH01001065G0430	Os12t0583900-03	nucleobase-ascorbate transporter, putative, expressed
PH01001065G0460	Os12t0583700-00	ZOS12-09 - C2H2 zinc finger protein, expressed
PH01001065G0580	Os09t0256100-00	sulfotransferase domain containing protein, expressed
PH01001066G0050	Os02t0594900-01	glycosyl transferase family 17 protein, putative, expressed
PH01001066G0170	Os04t0479100-02	transglutaminase, putative, expressed
PH01001066G0250	Os04t0136900-01	serine-rich 25 kDa antigen protein, putative, expressed
PH01001066G0300	Os02t0595800-01	eukaryotic translation initiation factor 4B, putative, expressed
PH01001066G0390	Os01t0837900-01	serine/threonine-protein kinase AFC2, putative, expressed
PH01001066G0400	Os12t0460800-02	serine/threonine-protein kinase AFC2, putative, expressed
PH01001066G0520	Os06t0102300-02	glutathione gamma-glutamylcysteinyltransferase 1, putative, expressed
PH01001067G0070	Os04t0633300-00	serine/threonine-protein kinase receptor precursor, putative, expressed
PH01001067G0090	Os08t0179000-01	receptor-like kinase, putative
PH01001067G0170	Os09t0551251-00	receptor-like kinase, putative, expressed
PH01001067G0200	Os04t0631800-00	receptor-like kinase, putative, expressed
PH01001067G0210	Os04t0631600-01	expressed_protein
PH01001067G0310	Os08t0179900-01	expressed_protein
PH01001067G0320	Os08t0180000-02	mRNA cap guanine-N7 methyltransferase 1, putative, expressed
PH01001067G0330	Os08t0180100-01	SET domain containing protein, expressed
PH01001067G0360	Os08t0180300-03	EDA16, putative, expressed
PH01001068G0380	Os08t0167000-01	ABC-2 type transporter domain containing protein, expressed
PH01001068G0390	Os08t0167000-01	ABC-2 type transporter domain containing protein, expressed
PH01001068G0560	Os08t0163500-01	stress-induced protein, putative, expressed
PH01001068G0580	Os08t0163600-00	harpin-induced protein 1 domain containing protein, expressed
PH01001069G0040	Os05t0215800-01	transporter-related, putative, expressed
PH01001069G0370	Os05t0318100-00	tyrosine protein kinase domain containing protein, putative, expressed
PH01001069G0410	Os03t0823700-01	ras-related protein, putative, expressed
PH01001070G0010	Os12t0287300-01	aminotransferase, putative, expressed
PH01001070G0070	Os12t0117200-00	esterase, putative, expressed
PH01001070G0100	Os02t0464500-00	expressed_protein
PH01001070G0600	Os11t0116550-01	vacuolar-sorting receptor precursor, putative, expressed
PH01001070G0610	Os12t0115900-01	elongation factor P, putative, expressed
PH01001070G0640	Os01t0212900-00	elongation factor P, putative, expressed
PH01001070G0650	Os12t0115500-01	LTPL14 - Protease inhibitor/seed storage/LTP family protein precursor, expressed
PH01001071G0020	Os07t0264100-01	erythronate-4-phosphate dehydrogenase domain containing protein, expressed
PH01001071G0240	Os07t0260000-00	CRR4, putative, expressed
PH01001071G0280	Os07t0259700-01	H-BTB6 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with H family conserved sequence, expressed
PH01001071G0470	Os03t0343700-01	metal transporter Nramp6, putative, expressed
PH01001071G0480	Os08t0549300-01	acyl carrier protein, putative, expressed
PH01001071G0530	Os09t0538400-01	MYB family transcription factor, putative, expressed
PH01001071G0540	Os08t0548900-01	peptidase, T1 family, putative, expressed
PH01001071G0570	Os09t0536400-01	thaumatin, putative, expressed
PH01001071G0580	Os01t0121100-02	methyltransferase, putative, expressed
PH01001072G0140	Os08t0467300-01	ANTH domain containing protein
PH01001072G0150	Os09t0450300-02	microtubule associated protein, putative, expressed
PH01001072G0280	Os09t0451000-01	1-aminocyclopropane-1-carboxylate oxidase 1, putative, expressed
PH01001072G0470	Os09t0451400-01	1-aminocyclopropane-1-carboxylate oxidase protein, putative, expressed
PH01001072G0490	Os09t0451500-02	OsPDIL2-3 protein disulfide isomerase PDIL2-3, expressed
PH01001072G0510	Os08t0467600-00	transcription regulator, putative, expressed
PH01001073G0530	Os10t0206500-00	POEI27 - Pollen Ole e I allergen and extensin family protein precursor, expressed
PH01001074G0010	Os01t0232100-01	aquaporin protein, putative, expressed
PH01001074G0390	Os01t0227300-01	ras-related protein, putative, expressed
PH01001074G0410	Os01t0227200-01	protein kinase domain containing protein, expressed
PH01001074G0430	Os01t0227100-01	oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed
PH01001074G0520	Os01t0226500-01	expressed_protein
PH01001074G0560	Os01t0226300-01	reticulon domain containing protein, putative, expressed
PH01001074G0670	Os01t0226200-00	expressed_protein
PH01001075G0100	Os04t0396800-01	OsSCP24 - Putative Serine Carboxypeptidase homologue, expressed
PH01001075G0120	Os12t0230100-01	ATP-dependent Clp protease ATP-binding subunit clpA homolog CD4B,chloroplast precursor, putative, expressed
PH01001075G0130	Os04t0397400-01	expressed_protein
PH01001075G0390	Os04t0398000-02	ethylene-responsive transcription factor ERF114, putative, expressed
PH01001075G0490	Os08t0538000-01	tRNA synthetase class II core domain containing protein, expressed
PH01001075G0500	Os04t0398600-02	exostosin family domain containing protein, expressed
PH01001075G0520	Os04t0398800-01	expressed_protein
PH01001075G0530	Os09t0516500-00	sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating, putative, expressed
PH01001075G0590	Os04t0671800-01	zinc finger C-x8-C-x5-C-x3-H type family protein, expressed
PH01001076G0480	Os08t0337700-01	TBC domain containing protein, expressed
PH01001076G0500	Os08t0337300-02	EDM2, putative, expressed
PH01001076G0510	Os08t0337300-02	EDM2, putative, expressed
PH01001076G0520	Os05t0389800-01	ATP-dependent RNA helicase, putative, expressed
PH01001076G0530	Os05t0389800-01	ATP-dependent RNA helicase, putative, expressed
PH01001076G0540	Os05t0389800-01	ATP-dependent RNA helicase, putative, expressed
PH01001077G0120	Os06t0198700-01	expressed_protein
PH01001077G0260	Os06t0199402-00	expressed_protein
PH01001077G0300	Os06t0199500-02	phosphopantothenoylcysteine decarboxylase, putative, expressed
PH01001077G0400	Os06t0199800-01	G protein coupled receptor, putative, expressed
PH01001077G0410	Os02t0779200-02	OsSub22 - Putative Subtilisin homologue, expressed
PH01001077G0650	Os01t0695700-00	OsSub22 - Putative Subtilisin homologue, expressed
PH01001078G0190	Os10t0391100-01	expressed_protein
PH01001078G0250	Os10t0391200-00	OsFBX384 - F-box domain containing protein, expressed
PH01001078G0280	Os10t0391400-01	ZIM domain containing protein, putative, expressed
PH01001078G0420	Os10t0392400-01	ZIM domain containing protein, putative, expressed
PH01001078G0680	Os05t0207200-00	PPR repeat containing protein
PH01001079G0110	Os07t0445600-01	expressed_protein
PH01001079G0370	Os07t0440100-00	expressed_protein
PH01001079G0490	Os07t0438800-01	myb-like DNA-binding domain containing protein, expressed
PH01001079G0570	Os07t0439100-01	expressed_protein
PH01001080G0050	Os09t0394900-01	annexin, putative, expressed
PH01001080G0120	Os08t0451400-01	AT-rich interaction region, putative, expressed
PH01001080G0130	Os09t0434200-02	zinc finger, C3HC4 type domain containing protein, expressed
PH01001080G0230	Os09t0434500-01	AP2 domain containing protein, expressed
PH01001080G0330	Os03t0262700-02	hypothetical_protein
PH01001080G0360	Os09t0436300-01	hypothetical_protein
PH01001080G0390	Os09t0433000-01	hypro1, putative, expressed
PH01001080G0410	Os09t0432900-02	hypro1, putative, expressed
PH01001080G0510	Os12t0431100-01	AAA-type ATPase family protein, putative, expressed
PH01001081G0030	Os01t0938100-01	photosystem II reaction center PSB28 protein, chloroplast precursor, putative, expressed
PH01001081G0120	Os01t0936800-01	MSP domain containing protein, putative, expressed
PH01001081G0150	Os05t0372400-01	lipase precursor, putative, expressed
PH01001081G0160	Os01t0936100-01	protein kinase APK1B, chloroplast precursor, putative, expressed
PH01001081G0360	Os01t0935700-02	cytochrome c1-1, heme protein, mitochondrial precursor, putative, expressed
PH01001081G0390	Os01t0935500-01	potassium transporter, putative, expressed
PH01001081G0420	Os01t0935300-02	cullin-1, putative, expressed
PH01001082G0140	Os04t0244500-01	expressed_protein
PH01001082G0250	Os01t0499300-01	mov34/MPN/PAD-1 family protein, expressed
PH01001082G0410	Os01t0501800-01	oxygen-evolving enhancer protein 1, chloroplast precursor, putative, expressed
PH01001083G0050	Os11t0168300-02	protein of unknown function domain containing protein, expressed
PH01001083G0060	Os11t0168500-00	ethylene-responsive transcription factor ERF110, putative, expressed
PH01001083G0100	Os11t0169600-01	expressed_protein
PH01001083G0150	Os12t0168700-02	acyl-CoA synthetase protein, putative, expressed
PH01001083G0160	Os12t0168700-03	acyl-CoA synthetase protein, putative, expressed
PH01001083G0220	Os12t0168900-03	vacuolar ATP synthase, putative, expressed
PH01001083G0270	Os01t0977400-01	vegetative storage protein, putative, expressed
PH01001083G0290	Os11t0170200-01	myosin heavy chain-related, putative, expressed
PH01001083G0340	Os12t0169400-01	CBS domain-containing protein, putative, expressed
PH01001083G0350	Os02t0702000-00	CBS domain-containing protein, putative, expressed
PH01001083G0360	Os11t0171300-01	fructose-bisphospate aldolase isozyme, putative, expressed
PH01001083G0380	Os12t0118400-02	hydrolase, alpha/beta fold family protein, putative, expressed
PH01001083G0400	Os11t0171500-01	CAMK_CAMK_like.43 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
PH01001083G0430	Os11t0171700-02	FHA domain containing protein, putative, expressed
PH01001083G0510	not found	FHA domain containing protein, putative, expressed
PH01001083G0520	Os09t0125400-00	expressed_protein
PH01001084G0070	Os02t0686400-02	tRNA synthetases class II domain containing protein, expressed
PH01001084G0440	Os09t0106700-01	MYB family transcription factor, putative, expressed
PH01001085G0160	Os07t0557500-02	expressed_protein
PH01001086G0140	Os08t0398800-02	cleavage and polyadenylation specificity factor subunit 5, putative, expressed
PH01001086G0190	Os08t0398400-01	hypersensitive-induced response protein, putative, expressed
PH01001086G0260	Os09t0360400-01	holocarboxylase synthetase, putative, expressed
PH01001086G0290	Os05t0535800-00	S1 RNA binding domain containing protein, expressed
PH01001087G0150	Os06t0326400-01	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha, putative, expressed
PH01001087G0490	Os06t0326000-01	AT hook motif domain containing protein, expressed
PH01001087G0530	Os06t0325500-02	pantothenate kinase 4, putative, expressed
PH01001088G0090	Os11t0607200-01	BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed
PH01001088G0110	Os03t0324600-01	disease resistance RPP13-like protein 1, putative, expressed
PH01001088G0220	Os04t0462500-05	14-3-3 protein, putative, expressed
PH01001088G0320	Os11t0610700-01	WD domain, G-beta repeat domain containing protein, expressed
PH01001088G0350	Os06t0213400-01	expressed_protein
PH01001088G0460	Os11t0615100-01	A49-like RNA polymerase I associated factor family protein, expressed
PH01001088G0480	Os11t0615700-02	peptidase, T1 family, putative, expressed
PH01001088G0490	Os11t0615800-00	DNA repair protein Rad51, putative, expressed
PH01001088G0510	Os11t0616200-01	expressed_protein
PH01001088G0550	Os11t0616300-01	remorin C-terminal domain containing protein, putative, expressed
PH01001089G0220	Os11t0251200-00	hypothetical_protein
PH01001090G0120	Os10t0457400-01	regulatory protein, putative, expressed
PH01001090G0180	Os03t0803100-00	regulatory protein, putative, expressed
PH01001090G0270	Os01t0115600-01	protein kinase domain containing protein, expressed
PH01001090G0360	Os01t0898300-01	expressed_protein
PH01001090G0370	Os01t0117900-02	auxin-induced protein 5NG4, putative, expressed
PH01001090G0480	Os01t0118000-01	fructose-bisphospate aldolase isozyme, putative, expressed
PH01001090G0490	Os03t0748800-01	ATP-dependent RNA helicase DHX36, putative, expressed
PH01001090G0500	Os01t0118100-01	ATP-dependent RNA helicase DHX36, putative, expressed
PH01001090G0580	Os01t0118300-01	phosphatidylserine synthase, putative
PH01001090G0620	Os01t0118400-01	glycosyltransferase, putative, expressed
PH01001090G0640	Os05t0131500-00	glycosyltransferase, putative, expressed
PH01001091G0170	Os10t0113900-02	oxidoreductase, aldo/keto reductase family protein, putative, expressed
PH01001091G0280	Os10t0113900-02	oxidoreductase, aldo/keto reductase family protein, putative, expressed
PH01001091G0290	Os10t0114400-01	serine/threonine-protein kinase BRI1-like 2 precursor, putative, expressed
PH01001091G0310	Os10t0115200-01	GAGA-binding protein, putative, expressed
PH01001091G0370	Os01t0888700-01	serine/threonine-protein kinase RIO-like, putative, expressed
PH01001092G0040	Os12t0162500-01	bZIP transcription factor domain containing protein, expressed
PH01001092G0100	Os12t0162100-02	STE_PAK_Ste20_Slob_Wnk.6 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed
PH01001092G0270	Os11t0158600-00	homeobox domain containing protein, expressed
PH01001092G0280	Os12t0160400-01	expressed_protein
PH01001092G0350	Os12t0160200-00	expressed_protein
PH01001092G0460	Os12t0159600-02	harpin-induced protein 1 domain containing protein, expressed
PH01001092G0470	Os12t0159000-01	harpin-induced protein 1 domain containing protein, expressed
PH01001093G0240	Os08t0256000-01	expressed_protein
PH01001094G0060	Os07t0680600-01	expressed_protein
PH01001094G0160	Os07t0680300-01	ubiquinol-cytochrome c reductase complex 6.7 kDa protein, putative, expressed
PH01001094G0220	Os07t0679700-01	B3 DNA binding domain containing protein, putative, expressed
PH01001094G0230	Os03t0336200-02	bZIP transcription factor domain containing protein, expressed
PH01001094G0250	Os03t0336200-02	bZIP transcription factor domain containing protein, expressed
PH01001094G0380	Os07t0679200-01	DUF623 domain containing protein, expressed
PH01001094G0390	Os07t0679100-00	ATOFP17/OFP17, putative
PH01001094G0470	Os07t0679000-01	potassium transporter, putative, expressed
PH01001094G0480	Os07t0678600-01	CAMK_KIN1/SNF1/Nim1_like.31 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
PH01001094G0520	Os07t0678300-01	CAMK_KIN1/SNF1/Nim1_like.30 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
PH01001094G0540	Os07t0678300-01	CAMK_KIN1/SNF1/Nim1_like.30 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
PH01001094G0550	Os07t0677900-01	expressed_protein
PH01001095G0270	Os03t0390600-02	histone H3, putative, expressed
PH01001095G0280	Os02t0572400-01	riboflavin biosynthesis protein ribAB, chloroplast precursor, putative, expressed
PH01001095G0560	Os04t0449900-01	RNA recognition motif containing protein, putative, expressed
PH01001096G0090	Os03t0655300-00	CS domain containing protein, putative, expressed
PH01001096G0100	Os03t0655200-01	vesicle transport v-SNARE protein, putative, expressed
PH01001096G0250	Os04t0602500-01	peptidase, M50 family, putative, expressed
PH01001096G0260	Os03t0729500-01	growth-regulating factor, putative, expressed
PH01001096G0350	Os03t0729900-01	BSD domain containing protein, expressed
PH01001096G0370	Os03t0729900-01	BSD domain containing protein, expressed
PH01001096G0520	not found	BSD domain containing protein, expressed
PH01001096G0530	Os04t0352400-01	peptidyl-prolyl isomerase, putative, expressed
PH01001097G0170	Os10t0159600-01	hsp20/alpha crystallin family protein, putative, expressed
PH01001097G0330	Os09t0345400-00	expressed_protein
PH01001098G0040	Os03t0799200-01	DUF593 domain containing protein, expressed
PH01001098G0250	Os03t0798600-01	40S ribosomal protein S15, putative, expressed
PH01001098G0300	Os03t0798300-01	C-5 cytosine-specific DNA methylase, putative, expressed
PH01001098G0440	Os03t0797800-01	OsIAA14 - Auxin-responsive Aux/IAA gene family member, expressed
PH01001098G0450	Os03t0797700-02	expressed_protein
PH01001098G0490	Os03t0797400-01	indole-3-glycerol phosphate lyase, chloroplast precursor, putative, expressed
PH01001098G0530	Os03t0797400-01	indole-3-glycerol phosphate lyase, chloroplast precursor, putative, expressed
PH01001099G0110	Os05t0451900-01	growth regulator related protein, putative, expressed
PH01001099G0230	Os05t0451300-01	expressed_protein
PH01001099G0310	Os05t0450600-01	DUF740 domain containing protein, expressed
PH01001099G0510	Os05t0449900-01	MYB family transcription factor, putative, expressed
PH01001099G0640	Os03t0749500-01	periplasmic beta-glucosidase precursor, putative, expressed
PH01001100G0090	Os11t0490300-00	hypothetical_protein
PH01001100G0140	Os11t0490600-01	expressed_protein
PH01001100G0170	Os08t0398350-00	ABC transporter, ATP-binding protein, putative, expressed
PH01001100G0250	Os11t0490900-01	OsWRKY72 - Superfamily of TFs having WRKY and zinc finger domains, expressed
PH01001101G0070	Os02t0762300-01	ATP-binding domain-containing protein, putative, expressed
PH01001101G0120	Os03t0100010-00	expressed_protein
PH01001101G0160	Os07t0100800-01	transmembrane amino acid transporter protein, putative, expressed
PH01001101G0220	Os07t0100500-02	expressed_protein
PH01001101G0230	Os07t0100300-02	glycosyl transferase, group 1 domain containing protein, expressed
PH01001101G0300	Os07t0100200-01	SOR/SNZ family protein, putative, expressed
PH01001102G0050	Os06t0194000-02	AP2 domain containing protein, expressed
PH01001102G0130	Os06t0194900-03	sucrose synthase, putative, expressed
PH01001102G0170	Os06t0195600-01	SAC domain containing protein, putative, expressed
PH01001102G0260	Os06t0195800-01	heat shock protein DnaJ, putative, expressed
PH01001102G0270	Os07t0110200-01	nucleolar GTP-binding protein 1, putative, expressed
PH01001102G0300	Os06t0196200-00	expressed_protein
PH01001102G0310	Os06t0196300-02	peroxiredoxin, putative, expressed
PH01001102G0430	Os06t0104300-01	monocopper oxidase, putative, expressed
PH01001102G0470	Os02t0106100-01	glycosyl hydrolases, putative, expressed
PH01001102G0540	Os06t0104400-01	IQ calmodulin-binding motif family protein, putative, expressed
PH01001102G0580	Os06t0196600-01	3-oxoacyl-synthase, putative, expressed
PH01001103G0240	Os07t0270950-01	3-oxoacyl-synthase, putative, expressed
PH01001103G0290	Os07t0171300-01	CK1_CaseinKinase_1a.6 - CK1 includes the casein kinase 1 kinases, expressed
PH01001103G0370	Os07t0171100-02	SHOOT1 protein, putative, expressed
PH01001103G0520	Os07t0170300-01	YT521-B, putative, expressed
PH01001103G0530	Os07t0170200-00	HNH endonuclease domain-containing protein, putative, expressed
PH01001104G0260	Os05t0302600-01	DNA-binding storekeeper protein-related, putative, expressed
PH01001104G0340	Os05t0302300-01	transcription factor jumonji, putative, expressed
PH01001104G0450	Os02t0227400-01	expressed_protein
PH01001104G0460	Os05t0301600-01	protein phosphatase inhibitor 2 containing protein, expressed
PH01001104G0490	Os07t0408100-01	WD domain, G-beta repeat domain containing protein, expressed
PH01001104G0540	Os03t0155566-00	WD domain, G-beta repeat domain containing protein, expressed
PH01001105G0210	Os03t0133900-01	serine acetyltransferase protein, putative, expressed
PH01001105G0370	not found	serine acetyltransferase protein, putative, expressed
PH01001105G0500	Os03t0837100-01	CESA5 - cellulose synthase, expressed
PH01001105G0550	Os07t0252000-01	WD domain, G-beta repeat domain containing protein, expressed
PH01001107G0320	Os06t0234100-02	OsDegp10 - Putative Deg protease homologue, expressed
PH01001107G0490	Os06t0233400-02	DCN1-like protein 2, putative, expressed
PH01001107G0500	Os06t0233200-01	RING-H2 finger protein, putative, expressed
PH01001107G0540	Os02t0743200-01	NHL repeat-containing protein, putative, expressed
PH01001108G0070	Os01t0665200-01	CGMC_MAPKCMGC_2.6 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed
PH01001108G0120	Os01t0665300-02	NLI interacting factor-like phosphatase, putative, expressed
PH01001108G0190	Os01t0665400-01	kinase, pfkB family, putative, expressed
PH01001108G0340	Os01t0666500-01	expressed_protein
PH01001108G0360	Os05t0565100-01	expressed_protein
PH01001108G0520	Os01t0667200-02	metallo-beta-lactamase family protein, putative, expressed
PH01001109G0010	Os05t0113900-01	Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed
PH01001109G0060	Os05t0113900-01	Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed
PH01001109G0130	Os03t0278900-01	ATP synthase B chain, chloroplast precursor, putative, expressed
PH01001109G0260	Os03t0278300-02	RNA recognition motif containing protein, putative, expressed
PH01001109G0280	Os03t0278200-01	NAD dependent epimerase/dehydratase family domain containing protein, expressed
PH01001109G0290	Os03t0278000-02	NAD dependent epimerase/dehydratase family domain containing protein, expressed
PH01001109G0380	Os03t0277600-01	cysteine-rich repeat secretory protein 55 precursor, putative, expressed
PH01001109G0400	Os03t0277300-01	DnaK family protein, putative, expressed
PH01001109G0450	Os01t0151100-01	SLT1 protein, putative, expressed
PH01001109G0470	Os03t0277000-01	rab GDP dissociation inhibitor alpha, putative, expressed
PH01001109G0630	Os03t0276900-00	N-acetylglucosaminyltransferase, putative, expressed
PH01001110G0200	Os05t0163700-01	acyl-coenzyme A dehydrogenase, mitochondrial precursor, putative, expressed
PH01001110G0250	Os05t0163900-01	basic helix-loop-helix, putative, expressed
PH01001110G0380	Os07t0675000-01	acyl-CoA dehydrogenase family member 10, putative, expressed
PH01001110G0400	Os05t0165500-02	expressed_protein
PH01001110G0420	Os05t0168400-01	expressed_protein
PH01001110G0430	Os05t0168700-01	solute carrier family 35 member E3, putative, expressed
PH01001110G0450	Os05t0168800-02	KIP1, putative, expressed
PH01001111G0030	Os07t0124600-01	RNA recognition motif containing protein, putative, expressed
PH01001111G0150	Os03t0769700-01	expressed_protein
PH01001111G0260	Os03t0769100-01	ribosomal protein, putative, expressed
PH01001111G0270	Os03t0769050-00	hydrolase, acting on carbon-nitrogen, putative, expressed
PH01001111G0480	Os03t0767600-01	BTBN10 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed
PH01001112G0050	Os01t0794400-01	protein disulfide isomerase, putative, expressed
PH01001112G0070	Os01t0794500-00	translation initiation factor SUI1, putative, expressed
PH01001112G0150	Os01t0795100-00	OsSub7 - Putative Subtilisin homologue
PH01001112G0390	Os01t0795200-01	OsSub8 - Putative Subtilisin homologue, expressed
PH01001112G0460	Os01t0796400-01	3-hydroxybutyryl-CoA dehydrogenase, putative, expressed
PH01001112G0470	Os01t0796500-01	haloacid dehalogenase, putative, expressed
PH01001112G0510	Os01t0796700-01	zinc finger C3HC4 type family protein, putative, expressed
PH01001112G0620	Os01t0797600-01	AP2 domain containing protein, expressed
PH01001112G0650	Os05t0497200-01	AP2 domain containing protein, expressed
PH01001113G0010	Os03t0308800-03	tetratricopeptide repeat domain containing protein, expressed
PH01001113G0050	Os07t0568300-02	zinc finger family protein, putative, expressed
PH01001113G0110	Os07t0568600-01	CAMK_CAMK_like.34 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
PH01001113G0130	Os07t0568700-02	polygalacturonase inhibitor 1 precursor, putative, expressed
PH01001113G0200	Os07t0568900-01	polygalacturonase inhibitor 1 precursor, putative, expressed
PH01001113G0210	Os07t0569000-01	expressed_protein
PH01001113G0300	Os07t0569500-01	expressed_protein
PH01001113G0360	Os07t0569700-01	ZOS7-05 - C2H2 zinc finger protein, expressed
PH01001113G0470	Os01t0725800-01	suppressor of phythchrome A, putative, expressed
PH01001113G0490	Os04t0455600-02	expressed_protein
PH01001113G0580	Os01t0726400-00	OsMADS32 - MADS-box family gene with MIKCc type-box, expressed
PH01001113G0620	Os01t0727100-02	glycosyl transferase 8 domain containing protein, putative, expressed
PH01001113G0650	Os01t0727700-00	expressed_protein
PH01001114G0100	Os07t0470800-00	expressed_protein
PH01001114G0140	Os07t0471000-01	ribonuclease 2-5A family protein, expressed
PH01001114G0220	Os07t0471100-01	SET domain containing protein, expressed
PH01001114G0480	Os07t0471900-00	ethylene-responsive protein related, putative, expressed
PH01001115G0120	Os03t0268900-02	tropinone reductase, putative, expressed
PH01001115G0280	Os03t0268600-01	protein phosphatase 2C, putative, expressed
PH01001115G0300	not found	protein phosphatase 2C, putative, expressed
PH01001115G0330	Os03t0268400-01	mannose-1-phosphate guanyltransferase, putative, expressed
PH01001115G0390	Os03t0268300-01	digalactosyldiacylglycerol synthase, chloroplast precursor, putative, expressed
PH01001115G0400	Os03t0268200-04	CAMK_CAMK_like_ULKh_APGy.2 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
PH01001115G0410	Os05t0173500-02	CAMK_CAMK_like_ULKh_APGy.2 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
PH01001115G0420	Os03t0268100-01	myosin heavy chain-related, putative, expressed
PH01001115G0440	Os03t0267800-01	LIM domain-containing protein, putative, expressed
PH01001115G0450	Os03t0267700-01	mitochondrial carrier protein, putative, expressed
PH01001115G0480	Os03t0775400-01	mitochondrial carrier protein, putative, expressed
PH01001115G0490	Os03t0267600-01	expressed_protein
PH01001115G0500	Os03t0267500-02	expressed_protein
PH01001115G0570	Os03t0266700-01	src homology-3 domain protein 3, putative, expressed
PH01001115G0590	Os03t0266800-01	BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed
PH01001115G0600	Os03t0266800-01	BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed
PH01001115G0640	Os03t0266300-03	hsp20/alpha crystallin family protein, putative, expressed
PH01001115G0650	Os03t0266200-01	enolase, putative, expressed
PH01001115G0660	Os03t0266100-01	OsWLIM2 - LIM domain protein, putative actin-binding protein and transcription factor, expressed
PH01001115G0690	Os03t0266000-01	OTU-like cysteine protease family protein, putative, expressed
PH01001115G0700	Os03t0265900-01	expressed_protein
PH01001115G0710	Os03t0265800-01	membrane protein, putative, expressed
PH01001115G0740	Os03t0265700-01	SH3 domain containing protein, expressed
PH01001116G0310	Os05t0315100-00	PPR repeat domain containing protein, putative, expressed
PH01001116G0330	Os01t0674700-00	PPR repeat domain containing protein, putative, expressed
PH01001116G0500	Os05t0220100-01	per1-like family protein, putative, expressed
PH01001116G0520	Os05t0220100-01	per1-like family protein, putative, expressed
PH01001117G0020	Os03t0800200-00	PAZ domain containing protein, putative, expressed
PH01001117G0090	Os05t0110900-01	protein kinase domain containing protein, expressed
PH01001117G0100	Os01t0248600-01	PSF2 - Putative GINS complex subunit, expressed
PH01001117G0110	Os01t0973600-02	plant-specific domain TIGR01615 family protein, expressed
PH01001117G0120	Os01t0974000-02	TGD2, putative, expressed
PH01001117G0170	Os05t0111300-01	TGD2, putative, expressed
PH01001117G0180	Os12t0552300-00	pentatricopeptide, putative, expressed
PH01001117G0190	Os01t0974300-01	expressed_protein
PH01001117G0210	Os03t0606200-01	expressed_protein
PH01001117G0220	Os01t0150200-02	expressed_protein
PH01001117G0310	Os05t0112200-01	expressed_protein
PH01001117G0440	Os05t0113900-01	Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed
PH01001117G0450	Os05t0114000-01	soluble inorganic pyrophosphatase, putative, expressed
PH01001117G0550	Os01t0975900-02	aquaporin protein, putative, expressed
PH01001117G0580	Os05t0115100-02	expressed_protein
PH01001117G0590	Os01t0976000-01	vacuolar fusion protein MON1 homolog A, putative, expressed
PH01001117G0600	Os03t0280000-01	ABC transporter, ATP-binding protein, putative, expressed
PH01001118G0090	Os02t0227400-01	expressed_protein
PH01001118G0110	Os06t0558766-00	expressed_protein
PH01001118G0420	Os02t0520100-01	hydrolase, NUDIX family, domain containing protein, expressed
PH01001118G0470	Os04t0398800-01	expressed_protein
PH01001118G0500	not found	Leucine Rich Repeat family protein, expressed
PH01001119G0190	Os03t0798600-01	40S ribosomal protein S15, putative, expressed
PH01001119G0210	Os03t0798400-01	prenylated rab acceptor, putative, expressed
PH01001119G0270	Os03t0798200-01	zinc finger, C3HC4 type domain containing protein, expressed
PH01001119G0310	Os03t0797800-01	OsIAA14 - Auxin-responsive Aux/IAA gene family member, expressed
PH01001119G0320	Os03t0797700-02	expressed_protein
PH01001119G0330	Os03t0797600-01	BHLH transcription factor, putative, expressed
PH01001119G0470	Os03t0796900-01	bZIP transcription factor domain containing protein, expressed
PH01001119G0500	Os07t0181700-01	GTP binding protein, putative, expressed
PH01001120G0010	Os06t0298200-01	CCT/B-box zinc finger protein, putative, expressed
PH01001120G0110	Os06t0298400-01	WW domain containing protein, expressed
PH01001120G0120	Os06t0298500-01	expressed_protein
PH01001120G0290	Os06t0300700-01	expressed_protein
PH01001120G0300	Os06t0300800-01	WD domain, G-beta repeat domain containing protein, expressed
